SK_FATO_META;ID_META_ORIGEM;SK_TEMPO;SK_LOJA;SK_CANALVENDA;SK_PRODUTO;SK_CATEGORIA;SK_MARCA;ANO;MES;ANO_MES;TIPO_META;META_FATURAMENTO_BRUTO;META_FATURAMENTO_LIQUIDO;META_QTD_VENDAS;META_QTD_ITENS;META_TICKET_MEDIO;META_MARGEM_BRUTA;META_PERCENTUAL_MARGEM;DATA_INICIO_META;DATA_FIM_META;FL_META_ATIVA;DATA_CARGA;DATA_ATUALIZACAO_DW
1;MET00000001;20250101;1;1;;1;;2025;1;2025-01;MISTA;134764.31;129520.92;1128.61;3126.3782;114.76;36470.71;28.1582;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
2;MET00000002;20250101;1;1;;2;;2025;1;2025-01;MISTA;152030.48;138078.93;1894.7211;3558.7952;72.88;43271.29;31.3381;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
3;MET00000003;20250101;1;1;;3;;2025;1;2025-01;MISTA;105056.66;92746.89;530.7126;1448.9233;174.76;34153.58;36.8245;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
4;MET00000004;20250101;1;1;;4;;2025;1;2025-01;MISTA;49935.24;46493.27;791.8343;1873.3347;58.72;14675.89;31.5656;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
5;MET00000005;20250101;1;1;;5;;2025;1;2025-01;MISTA;87289.61;83955.3;599.0236;858.8773;140.15;23452.57;27.9346;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
6;MET00000006;20250101;1;1;;6;;2025;1;2025-01;MISTA;72794.69;68759.01;2849.8569;4578.4608;24.13;14505.45;21.0961;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
7;MET00000007;20250101;1;1;;7;;2025;1;2025-01;MISTA;165307.65;158195.5;1161.1763;3024.9244;136.24;32341.63;20.4441;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
8;MET00000008;20250101;1;1;;8;;2025;1;2025-01;MISTA;42604.9;39090.78;2150.6666;5414.8807;18.18;14373.72;36.7701;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
9;MET00000009;20250101;1;1;;9;;2025;1;2025-01;MISTA;28718.12;25756.58;2046.2673;3377.3024;12.59;8392.85;32.5853;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
10;MET00000010;20250101;1;1;;10;;2025;1;2025-01;MISTA;105677.45;96411.81;1438.6655;3777.1295;67.01;28447.88;29.5066;2025-01-01;2025-01-31;S;2026-07-01 10:00:00;
