SK_FATO_RUPTURA;ID_RUPTURA_ORIGEM;SK_TEMPO;SK_PRODUTO;SK_LOJA;SK_MOTIVO_RUPTURA;QTD_ESTOQUE_ESPERADO;QTD_ESTOQUE_DISPONIVEL;QTD_RUPTURA;DIAS_RUPTURA;VALOR_VENDA_PERDIDA;FL_RUPTURA;DATA_CARGA;DATA_ATUALIZACAO_DW
1;RUP00000001;20251010;3;3;2;15;0;15;6.59;676.42;S;2026-07-01 10:00:00;
2;RUP00000002;20251202;112;7;7;13;0;13;6.81;777.82;S;2026-07-01 10:00:00;
3;RUP00000003;20251225;2;6;6;11;0;11;5.64;1136.92;S;2026-07-01 10:00:00;
4;RUP00000004;20251127;1;5;6;12;0;12;3.91;518.36;S;2026-07-01 10:00:00;
5;RUP00000005;20251007;29;3;7;32;0;32;4.81;1425.18;S;2026-07-01 10:00:00;
6;RUP00000006;20251103;55;4;8;23;0;23;2.11;1909.27;S;2026-07-01 10:00:00;
7;RUP00000007;20251021;12;12;8;26;0;26;2.01;197.22;S;2026-07-01 10:00:00;
8;RUP00000008;20251209;81;2;7;27;0;27;1.89;3032.31;S;2026-07-01 10:00:00;
9;RUP00000009;20251221;36;7;6;10;0;10;2.78;1208.44;S;2026-07-01 10:00:00;
10;RUP00000010;20251020;44;5;1;16;0;16;3.43;572.69;S;2026-07-01 10:00:00;
11;RUP00000011;20251121;64;1;3;32;0;32;2.47;4021.19;S;2026-07-01 10:00:00;
12;RUP00000012;20251108;23;2;3;15;0;15;2.62;1579.59;S;2026-07-01 10:00:00;
13;RUP00000013;20251108;83;10;2;45;0;45;6.56;2247.21;S;2026-07-01 10:00:00;
14;RUP00000014;20251107;116;3;6;35;0;35;5.12;2196.97;S;2026-07-01 10:00:00;
15;RUP00000015;20251126;37;1;6;26;0;26;2.14;2158.31;S;2026-07-01 10:00:00;
16;RUP00000016;20251231;71;7;5;20;0;20;1.07;1405.43;S;2026-07-01 10:00:00;
17;RUP00000017;20251229;98;1;4;30;0;30;3.1;994.52;S;2026-07-01 10:00:00;
18;RUP00000018;20251230;59;11;2;33;0;33;5.7;1044.02;S;2026-07-01 10:00:00;
19;RUP00000019;20251114;119;9;6;34;0;34;2.89;452.51;S;2026-07-01 10:00:00;
20;RUP00000020;20251010;98;7;4;22;0;22;3.86;1010.88;S;2026-07-01 10:00:00;
21;RUP00000021;20251114;4;2;5;38;0;38;4.31;2276.79;S;2026-07-01 10:00:00;
22;RUP00000022;20251130;66;11;4;10;0;10;4.16;705.31;S;2026-07-01 10:00:00;
23;RUP00000023;20251204;50;3;1;11;0;11;2.97;91.09;S;2026-07-01 10:00:00;
24;RUP00000024;20251202;111;5;6;45;0;45;1.86;3866.87;S;2026-07-01 10:00:00;
25;RUP00000025;20251114;80;5;1;37;0;37;5.77;3349.62;S;2026-07-01 10:00:00;
26;RUP00000026;20251108;97;6;4;10;0;10;4.4;190.14;S;2026-07-01 10:00:00;
27;RUP00000027;20251114;82;11;3;43;0;43;6.66;618.17;S;2026-07-01 10:00:00;
28;RUP00000028;20251024;93;11;5;23;0;23;2.84;1731.16;S;2026-07-01 10:00:00;
29;RUP00000029;20251103;73;1;2;29;0;29;5.11;2090.78;S;2026-07-01 10:00:00;
30;RUP00000030;20251122;48;2;6;43;0;43;3.6;844.4;S;2026-07-01 10:00:00;
31;RUP00000031;20251125;40;10;2;19;0;19;5.41;764.78;S;2026-07-01 10:00:00;
32;RUP00000032;20251222;23;4;5;33;0;33;5.05;3393.22;S;2026-07-01 10:00:00;
33;RUP00000033;20251004;99;10;3;19;0;19;5.19;1457.71;S;2026-07-01 10:00:00;
34;RUP00000034;20251208;13;2;6;30;0;30;2.38;602.62;S;2026-07-01 10:00:00;
35;RUP00000035;20251209;42;10;7;13;0;13;6.14;656.57;S;2026-07-01 10:00:00;
36;RUP00000036;20251006;112;2;6;21;0;21;2.96;1793.02;S;2026-07-01 10:00:00;
37;RUP00000037;20251017;54;11;6;13;0;13;1.59;179.33;S;2026-07-01 10:00:00;
38;RUP00000038;20251110;66;11;5;32;0;32;6.1;2037.32;S;2026-07-01 10:00:00;
39;RUP00000039;20251105;63;4;7;26;0;26;1.57;1405.14;S;2026-07-01 10:00:00;
40;RUP00000040;20251015;109;10;3;11;0;11;1.2;1191.68;S;2026-07-01 10:00:00;
41;RUP00000041;20251121;32;12;4;20;0;20;3.05;760.93;S;2026-07-01 10:00:00;
42;RUP00000042;20251101;88;8;4;15;0;15;5.86;1506.01;S;2026-07-01 10:00:00;
43;RUP00000043;20251028;104;9;2;16;0;16;4.48;204.72;S;2026-07-01 10:00:00;
44;RUP00000044;20251220;48;12;3;22;0;22;1.27;389.78;S;2026-07-01 10:00:00;
45;RUP00000045;20251018;87;2;8;24;0;24;4.37;3059.15;S;2026-07-01 10:00:00;
46;RUP00000046;20251225;44;3;7;42;0;42;6.67;1191.41;S;2026-07-01 10:00:00;
47;RUP00000047;20251030;42;7;8;37;0;37;5.75;1575.67;S;2026-07-01 10:00:00;
48;RUP00000048;20251003;56;4;7;37;0;37;4.06;4568.61;S;2026-07-01 10:00:00;
49;RUP00000049;20251230;23;11;4;27;0;27;5.41;2835.11;S;2026-07-01 10:00:00;
50;RUP00000050;20251209;11;6;8;28;0;28;3.75;2167.65;S;2026-07-01 10:00:00;
51;RUP00000051;20251012;80;2;2;16;0;16;5.76;1087.0;S;2026-07-01 10:00:00;
52;RUP00000052;20251113;99;4;1;37;0;37;6.22;3715.34;S;2026-07-01 10:00:00;
53;RUP00000053;20251009;86;5;7;36;0;36;5.33;1012.98;S;2026-07-01 10:00:00;
54;RUP00000054;20251105;45;3;5;36;0;36;4.39;1843.87;S;2026-07-01 10:00:00;
55;RUP00000055;20251005;79;2;1;15;0;15;3.11;629.12;S;2026-07-01 10:00:00;
56;RUP00000056;20251030;35;4;3;44;0;44;1.44;3815.81;S;2026-07-01 10:00:00;
57;RUP00000057;20251217;109;5;5;43;0;43;6.45;6253.8;S;2026-07-01 10:00:00;
58;RUP00000058;20251128;112;12;6;45;0;45;6.11;3635.12;S;2026-07-01 10:00:00;
59;RUP00000059;20251107;33;8;6;15;0;15;1.42;351.61;S;2026-07-01 10:00:00;
60;RUP00000060;20251103;24;2;5;37;0;37;5.93;4568.61;S;2026-07-01 10:00:00;
61;RUP00000061;20251103;35;5;2;22;0;22;5.81;2847.53;S;2026-07-01 10:00:00;
62;RUP00000062;20251018;30;1;6;30;0;30;1.69;1575.19;S;2026-07-01 10:00:00;
63;RUP00000063;20251219;51;11;6;34;0;34;3.58;555.92;S;2026-07-01 10:00:00;
64;RUP00000064;20251005;67;1;3;33;0;33;6.44;1854.27;S;2026-07-01 10:00:00;
65;RUP00000065;20251117;68;10;4;17;0;17;5.48;253.25;S;2026-07-01 10:00:00;
66;RUP00000066;20251218;58;1;2;31;0;31;4.48;1790.55;S;2026-07-01 10:00:00;
67;RUP00000067;20251126;42;1;7;41;0;41;5.67;1754.03;S;2026-07-01 10:00:00;
68;RUP00000068;20251028;8;3;5;16;0;16;3.64;52.4;S;2026-07-01 10:00:00;
69;RUP00000069;20251008;6;6;1;30;0;30;5.33;3361.91;S;2026-07-01 10:00:00;
70;RUP00000070;20251116;75;9;8;18;0;18;4.73;1663.21;S;2026-07-01 10:00:00;
71;RUP00000071;20251008;25;1;4;12;0;12;3.43;213.36;S;2026-07-01 10:00:00;
72;RUP00000072;20251010;13;2;1;39;0;39;5.66;932.15;S;2026-07-01 10:00:00;
73;RUP00000073;20251229;109;4;7;32;0;32;6.19;3475.21;S;2026-07-01 10:00:00;
74;RUP00000074;20251009;15;4;1;19;0;19;1.29;150.72;S;2026-07-01 10:00:00;
75;RUP00000075;20251205;98;10;6;30;0;30;6.99;1324.88;S;2026-07-01 10:00:00;
76;RUP00000076;20251003;73;5;1;40;0;40;4.01;2238.65;S;2026-07-01 10:00:00;
77;RUP00000077;20251129;44;11;5;17;0;17;6.67;688.9;S;2026-07-01 10:00:00;
78;RUP00000078;20251106;27;5;8;11;0;11;3.17;561.38;S;2026-07-01 10:00:00;
79;RUP00000079;20251122;2;8;8;14;0;14;4.73;1512.7;S;2026-07-01 10:00:00;
80;RUP00000080;20251231;101;8;5;27;0;27;4.51;2712.79;S;2026-07-01 10:00:00;
81;RUP00000081;20251221;49;7;3;27;0;27;1.19;2212.14;S;2026-07-01 10:00:00;
82;RUP00000082;20251224;19;9;1;25;0;25;4.77;2339.44;S;2026-07-01 10:00:00;
83;RUP00000083;20251209;13;4;4;28;0;28;5.81;455.66;S;2026-07-01 10:00:00;
84;RUP00000084;20251009;38;4;5;17;0;17;6.23;976.05;S;2026-07-01 10:00:00;
85;RUP00000085;20251102;38;11;6;16;0;16;2.23;1285.93;S;2026-07-01 10:00:00;
86;RUP00000086;20251005;16;2;2;40;0;40;5.77;2782.94;S;2026-07-01 10:00:00;
87;RUP00000087;20251230;84;11;4;10;0;10;3.59;707.61;S;2026-07-01 10:00:00;
88;RUP00000088;20251112;78;1;1;40;0;40;3.47;2624.02;S;2026-07-01 10:00:00;
89;RUP00000089;20251026;12;3;3;43;0;43;4.43;198.78;S;2026-07-01 10:00:00;
90;RUP00000090;20251211;52;12;5;45;0;45;3.28;1285.13;S;2026-07-01 10:00:00;
91;RUP00000091;20251214;19;12;5;42;0;42;2.24;2639.09;S;2026-07-01 10:00:00;
92;RUP00000092;20251207;73;8;4;12;0;12;5.15;678.78;S;2026-07-01 10:00:00;
93;RUP00000093;20251109;77;9;6;18;0;18;3.91;445.93;S;2026-07-01 10:00:00;
94;RUP00000094;20251209;110;4;2;15;0;15;4.04;266.68;S;2026-07-01 10:00:00;
95;RUP00000095;20251226;43;5;8;34;0;34;5.85;3343.31;S;2026-07-01 10:00:00;
96;RUP00000096;20251024;117;5;4;36;0;36;4.35;205.75;S;2026-07-01 10:00:00;
97;RUP00000097;20251116;53;11;2;13;0;13;5.0;1556.7;S;2026-07-01 10:00:00;
98;RUP00000098;20251024;96;5;7;17;0;17;2.73;959.09;S;2026-07-01 10:00:00;
99;RUP00000099;20251017;73;8;1;23;0;23;5.54;1661.79;S;2026-07-01 10:00:00;
100;RUP00000100;20251129;116;8;2;12;0;12;5.62;683.02;S;2026-07-01 10:00:00;
101;RUP00000101;20251125;86;2;4;38;0;38;2.25;1208.9;S;2026-07-01 10:00:00;
102;RUP00000102;20251214;14;6;6;43;0;43;5.68;454.93;S;2026-07-01 10:00:00;
103;RUP00000103;20251017;25;12;8;35;0;35;2.09;726.33;S;2026-07-01 10:00:00;
104;RUP00000104;20251119;38;12;2;41;0;41;6.38;3913.79;S;2026-07-01 10:00:00;
105;RUP00000105;20251119;34;9;1;32;0;32;4.12;523.58;S;2026-07-01 10:00:00;
106;RUP00000106;20251122;94;10;7;11;0;11;4.99;769.6;S;2026-07-01 10:00:00;
107;RUP00000107;20251025;3;7;7;31;0;31;4.7;2366.78;S;2026-07-01 10:00:00;
108;RUP00000108;20251124;79;5;2;26;0;26;2.01;658.28;S;2026-07-01 10:00:00;
109;RUP00000109;20251015;51;8;4;11;0;11;3.26;269.08;S;2026-07-01 10:00:00;
110;RUP00000110;20251105;14;3;7;31;0;31;1.07;273.98;S;2026-07-01 10:00:00;
111;RUP00000111;20251118;100;2;4;25;0;25;3.31;798.69;S;2026-07-01 10:00:00;
112;RUP00000112;20251130;5;7;1;17;0;17;4.47;561.71;S;2026-07-01 10:00:00;
113;RUP00000113;20251111;104;4;8;17;0;17;1.55;238.83;S;2026-07-01 10:00:00;
114;RUP00000114;20251030;101;9;5;21;0;21;2.24;1132.91;S;2026-07-01 10:00:00;
115;RUP00000115;20251004;23;7;7;42;0;42;4.92;3745.34;S;2026-07-01 10:00:00;
116;RUP00000116;20251029;105;3;2;12;0;12;2.52;2020.15;S;2026-07-01 10:00:00;
117;RUP00000117;20251125;68;4;4;36;0;36;3.85;578.59;S;2026-07-01 10:00:00;
118;RUP00000118;20251126;61;7;4;30;0;30;6.62;5063.75;S;2026-07-01 10:00:00;
119;RUP00000119;20251014;52;6;8;14;0;14;2.64;493.76;S;2026-07-01 10:00:00;
120;RUP00000120;20251126;98;5;7;23;0;23;5.85;1026.64;S;2026-07-01 10:00:00;
121;RUP00000121;20251003;71;12;2;12;0;12;5.98;768.49;S;2026-07-01 10:00:00;
122;RUP00000122;20251204;18;9;4;19;0;19;6.52;1023.17;S;2026-07-01 10:00:00;
123;RUP00000123;20251224;43;6;1;38;0;38;6.39;4286.58;S;2026-07-01 10:00:00;
124;RUP00000124;20251030;112;5;6;34;0;34;3.13;1742.45;S;2026-07-01 10:00:00;
125;RUP00000125;20251103;30;4;8;20;0;20;6.27;1306.66;S;2026-07-01 10:00:00;
126;RUP00000126;20251105;101;7;5;26;0;26;3.95;2580.18;S;2026-07-01 10:00:00;
127;RUP00000127;20251023;48;9;3;32;0;32;2.11;842.22;S;2026-07-01 10:00:00;
128;RUP00000128;20251123;14;3;7;34;0;34;5.1;277.22;S;2026-07-01 10:00:00;
129;RUP00000129;20251010;34;2;2;37;0;37;5.56;860.26;S;2026-07-01 10:00:00;
130;RUP00000130;20251124;10;7;6;35;0;35;3.55;2509.59;S;2026-07-01 10:00:00;
131;RUP00000131;20251003;17;9;2;12;0;12;5.37;926.38;S;2026-07-01 10:00:00;
132;RUP00000132;20251003;57;5;1;40;0;40;4.42;2672.03;S;2026-07-01 10:00:00;
133;RUP00000133;20251012;61;6;4;36;0;36;5.3;4528.12;S;2026-07-01 10:00:00;
134;RUP00000134;20251102;48;8;1;41;0;41;1.92;763.23;S;2026-07-01 10:00:00;
135;RUP00000135;20251226;104;5;3;12;0;12;6.3;145.82;S;2026-07-01 10:00:00;
136;RUP00000136;20251201;40;7;1;14;0;14;1.68;699.02;S;2026-07-01 10:00:00;
137;RUP00000137;20251117;100;8;8;23;0;23;6.82;942.39;S;2026-07-01 10:00:00;
138;RUP00000138;20251112;10;2;1;19;0;19;2.76;1542.02;S;2026-07-01 10:00:00;
139;RUP00000139;20251226;116;8;4;25;0;25;2.9;2087.87;S;2026-07-01 10:00:00;
140;RUP00000140;20251228;95;6;4;17;0;17;4.34;2987.47;S;2026-07-01 10:00:00;
141;RUP00000141;20251012;68;2;6;28;0;28;6.47;520.06;S;2026-07-01 10:00:00;
142;RUP00000142;20251030;88;9;7;12;0;12;4.01;1128.45;S;2026-07-01 10:00:00;
143;RUP00000143;20251120;73;4;4;19;0;19;4.47;1319.09;S;2026-07-01 10:00:00;
144;RUP00000144;20251220;77;3;4;32;0;32;1.86;616.47;S;2026-07-01 10:00:00;
145;RUP00000145;20251016;112;10;3;40;0;40;6.91;2857.63;S;2026-07-01 10:00:00;
146;RUP00000146;20251205;12;2;2;45;0;45;6.27;317.39;S;2026-07-01 10:00:00;
147;RUP00000147;20251123;116;9;4;18;0;18;5.97;1167.42;S;2026-07-01 10:00:00;
148;RUP00000148;20251027;42;6;2;14;0;14;5.8;687.7;S;2026-07-01 10:00:00;
149;RUP00000149;20251216;27;12;7;22;0;22;1.39;1720.65;S;2026-07-01 10:00:00;
150;RUP00000150;20251206;47;3;8;34;0;34;5.16;3862.28;S;2026-07-01 10:00:00;
151;RUP00000151;20251011;39;10;3;19;0;19;6.46;1335.1;S;2026-07-01 10:00:00;
152;RUP00000152;20251229;17;11;8;32;0;32;2.95;1274.91;S;2026-07-01 10:00:00;
153;RUP00000153;20251127;11;12;2;27;0;27;3.7;2112.35;S;2026-07-01 10:00:00;
154;RUP00000154;20251027;62;7;3;39;0;39;4.52;3612.46;S;2026-07-01 10:00:00;
155;RUP00000155;20251030;3;12;6;20;0;20;6.67;1374.01;S;2026-07-01 10:00:00;
156;RUP00000156;20251026;99;2;6;36;0;36;2.38;3951.7;S;2026-07-01 10:00:00;
157;RUP00000157;20251006;53;10;8;32;0;32;5.67;3037.65;S;2026-07-01 10:00:00;
158;RUP00000158;20251031;65;5;7;19;0;19;5.57;1086.74;S;2026-07-01 10:00:00;
159;RUP00000159;20251202;103;7;7;15;0;15;6.23;1765.84;S;2026-07-01 10:00:00;
160;RUP00000160;20251117;9;5;8;13;0;13;6.13;860.34;S;2026-07-01 10:00:00;
161;RUP00000161;20251112;25;12;7;30;0;30;4.22;655.89;S;2026-07-01 10:00:00;
162;RUP00000162;20251220;8;8;1;29;0;29;2.57;138.17;S;2026-07-01 10:00:00;
163;RUP00000163;20251003;105;2;4;13;0;13;6.23;2149.64;S;2026-07-01 10:00:00;
164;RUP00000164;20251124;35;4;2;16;0;16;4.42;1352.09;S;2026-07-01 10:00:00;
165;RUP00000165;20251116;114;4;6;21;0;21;5.08;716.68;S;2026-07-01 10:00:00;
166;RUP00000166;20251207;24;12;6;32;0;32;2.38;4181.51;S;2026-07-01 10:00:00;
167;RUP00000167;20251114;10;8;8;40;0;40;4.86;3679.21;S;2026-07-01 10:00:00;
168;RUP00000168;20251218;96;11;4;44;0;44;4.45;2527.69;S;2026-07-01 10:00:00;
169;RUP00000169;20251206;82;7;7;13;0;13;3.6;118.98;S;2026-07-01 10:00:00;
